Gene.symbol	Gene.ID	adj.P.Val	logFC
		5.09624067412722e-27	1.39370788814107
PATL2	197135	5.46835782409605e-27	-1.75760915078813
PAICS	10606	5.73137796010865e-27	2.45252729729465
PRKDC	5591	6.02953699062806e-27	1.6333660560531
COQ10B	80219	6.60763886563071e-27	-1.4058773962344
PPM1M	132160	7.00075644239495e-27	-1.59276440440569
FASN	2194	7.70383507576774e-27	1.7579558236029
DNMT1	1786	7.71449457557152e-27	1.61431562743858
B3GALT4	8705	7.73724319355144e-27	-1.19847141525978
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	7.94715408322028e-27	1.74562867408564
JADE3	9767	8.80175410910105e-27	2.24726729133059
TINF2	26277	9.04711756299179e-27	-1.01938301126694
CKAP2	26586	9.73128001376537e-27	1.74711973622385
FANCG	2189	9.73128001376537e-27	1.36128137387359
RCN1	5954	1.01942424777626e-26	2.03852176051958
ZNF394	84124	1.03521079441736e-26	-1.47714809873002
QPRT	23475	1.0802246968949e-26	1.76685124382836
		1.13843931310748e-26	-3.55113264919471
ADAM19	8728	1.19178391769216e-26	-2.80548274314143
GAPDH	2597	1.2714052031394e-26	0.82362726527445
TMEM237	65062	1.31177963973e-26	2.04918525103683
PBK	55872	1.33113074049098e-26	3.96513601835259
		1.40453493759786e-26	1.63005057395548
NASP	4678	1.40453493759786e-26	1.81354073682442
KDM1A	23028	1.68221925852308e-26	2.04108122595977
BRCA1	672	1.89672594903819e-26	2.34362106240282
ISCU	23479	2.07302716597318e-26	-1.07305190719185
UCK2	7371	2.08073052054562e-26	2.32131313940014
CCNDBP1	23582	2.14355885444402e-26	-1.62068572743233
CFLAR	8837	2.16669288926752e-26	-2.3746795932133
NUP155	9631	2.4791379458128e-26	1.44980791381745
HILPDA	29923	2.48794136692647e-26	1.69280665476793
PSPH	5723	2.73257454356682e-26	1.83519083660665
RINL	126432	2.78895833237393e-26	-0.901727485631326
DEPDC1	55635	2.86707974186081e-26	3.50676722476792
DDX58	23586	2.90165507011107e-26	-2.16366086355337
ACACA	31	3.0085076695451e-26	1.88767674708922
MYO19	80179	3.37623097365979e-26	1.08674320474486
		3.4339334084373e-26	-1.3482849822614
TCP11L2	255394	3.9086138825527e-26	-3.40822457228697
BTBD3	22903	3.99234634253866e-26	2.4338630458162
CENPH	64946	3.99234634253866e-26	2.02570085607742
SLC39A8	64116	4.4279867159922e-26	1.96595320650795
		5.37710689474971e-26	-2.12996508325639
		6.0883191784142e-26	1.10838851931307
		6.6077456094507e-26	1.2872745682487
GPR15	2838	6.6762398988324e-26	-3.0175877439258
IL4R	3566	6.87737152624566e-26	-2.49828846622617
RFC5	5985	6.87737152624566e-26	1.58793145942339
AURKA	6790	7.04739603332692e-26	2.93835959558555
ZBED4	9889	7.29011921831715e-26	1.17929965603361
MMS22L	253714	8.5474963080408e-26	2.08377033521026
MTFR2	113115	9.62908985037613e-26	2.14265760725818
BAIAP3	8938	1.01593099727968e-25	-1.24656914757268
RNASEH2A	10535	1.03697724158761e-25	2.1354104860574
EZH1	2145	1.52277977674876e-25	-1.22004926054228
TADA2B	93624	1.56490324719192e-25	-1.46700522634293
MALAT1	378938	1.6470813290904e-25	-1.2456028022006
DAZAP1	26528	1.66005486314186e-25	0.988821085520658
FABP5P3///FABP5	220832///2171	1.80574327270732e-25	2.99147999616913
		1.99378157087825e-25	1.23486352891275
POC1A	25886	2.35750948987065e-25	1.69496898305489
VRK1	7443	2.38251835595829e-25	1.55062540909297
PIK3R5	23533	2.51120268774594e-25	-2.41505943311354
		2.79451588334943e-25	1.21397161099588
TANK	10010	3.07062743246404e-25	-2.42009311341105
PTPRJ	5795	3.10630140280317e-25	-3.02862103983301
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	3136///3134///3133///3106///3105///3105	3.29990601396164e-25	-1.77067782542392
		3.31125122889534e-25	1.32395528882353
CREBRF	153222	3.41932816816935e-25	-2.40249485086984
MORC3	23515	3.69280867464602e-25	-1.2096016965532
IL10RA	3587	4.1078385653755e-25	-3.66351556071643
SLC25A28	81894	4.38758598766838e-25	-1.05118964273073
MAD2L2	10459	4.64244939510157e-25	1.39784040506365
MTCH2	23788	4.75631221757655e-25	1.55233767042035
NUCB2	4925	5.05381532652334e-25	2.14298502463758
FAM83D	81610	5.34960844613822e-25	1.7400026855775
		5.63229553605262e-25	-1.29026759814125
TUBA1C	84790	6.39096068113634e-25	1.81902144258108
NDC1	55706	6.5200132748054e-25	2.00289981231343
